t(s),Q'''(W/m^3)
3.088043392621768,66699510.05420445
3.0946010611736763,67015124.26717976
3.1011456854859993,67331105.73374754
3.1076773441778993,67647454.60022226
3.1141961150841544,67964171.02602798
3.120702075266065,68281255.15767339
3.1271953010221685,68598707.13710718
3.1336758678987646,68916527.11017723
3.1401438507002513,69234715.24389803
3.146599323499283,69553271.66542198
3.153042359646747,69872196.54012744
3.1594730317815696,70191490.01928073
3.1658914118403465,70511152.25727376
3.1722975710668115,70831183.39390725
3.1786915800211397,71151583.59811646
3.1850735085890887,71472353.01514946
3.191443425990987,71793491.80153906
3.197801400790566,72115000.10734
3.204147500903644,72436878.10253003
3.2104817936066605,72759125.93259816
3.216804345545069,73081743.76269244
3.223115222741589,73404731.73304458
3.2294144906043165,73728090.02116232
3.2357022139347023,74051818.77934538
3.241978456935397,74375918.17019594
3.248243283217965,74700388.34859829
3.254496755810473,75025229.47051452
3.260738937164951,75350441.70187941
3.2669698891647347,75676025.21855691
3.2731896731316845,76001980.16103388
3.27939834983329,76328306.69745438
3.2855959794896563,76655004.99648537
3.291782621780382,76982075.2180936
3.297958335851321,77309517.53157833
3.3041231803212403,77637332.0972651
3.31027721328837,77965519.08460417
3.3164204923368485,78294078.6538014
3.322553074543065,78623010.983164
3.328675016481904,78952316.22315605
3.334786374232889,79281994.54210877
3.3408872033862322,79612046.12626387
3.3469775590487862,79942471.12434636
3.353057495849907,80273269.72121947
3.3591270679472225,80604442.07315026
3.365186329032313,80935988.36321372
3.3712353323363047,81267908.74556701
3.377274130635377,81600203.40104455
3.3833027762561843,81932872.50926326
3.3893213210811957,82265916.22044489
3.395329816553954,82599334.73003851
3.4013283136842545,82933128.19452193
3.407316863053244,83267296.79679511
3.4132955148184467,83601840.7086342
3.41926431871871,83936760.09993829
3.4252233240790813,84272055.14807059
3.4311725798156067,84607726.02836427
3.437112134440063,84943772.92349531
3.443042036064616,85280195.99496779
3.448962332406413,85616995.43991747
3.454873070792106,85954171.41510674
3.460774298162309,86291724.10330139
3.4666660610759887,86629653.68472703
3.472548405714794,86967960.34653686
3.4784213778873205,87306644.25402309
3.4842850230333138,87645705.59837388
3.4901393862278116,87985144.54871082
