TIRF Data File: Project 1464; Run 32
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none	SAE
43.880	40.25	562.46	0.037	0.022	21.716	18.984	84.54	1846.22	14.97	-888.23	20.35	22.76	-2.08	-0.02	31.76	76.76	87.70	87.67	27.53	0.144	0.165
43.900	40.23	561.95	0.031	0.021	21.711	18.992	84.29	1865.56	19.79	-878.68	12.24	27.92	-2.12	-0.02	31.74	76.70	87.65	87.60	27.55	0.143	0.164
43.920	40.21	561.60	0.035	0.022	21.714	18.995	84.14	1925.80	29.71	-891.38	6.94	23.32	-2.16	-0.03	31.77	76.63	87.74	87.63	27.53	0.143	0.164
43.940	40.18	561.17	0.034	0.021	21.721	18.999	84.09	1947.90	27.21	-910.44	11.89	13.36	-2.14	-0.03	31.76	76.55	87.87	87.69	27.51	0.143	0.164
43.960	40.15	560.51	0.035	0.017	21.725	19.006	83.94	1895.85	19.59	-911.68	22.68	11.84	-2.08	-0.02	31.75	76.51	87.87	87.66	27.56	0.143	0.163
43.980	40.11	559.73	0.032	0.020	21.721	19.013	83.89	1841.93	13.67	-893.31	22.54	18.83	-2.06	-0.02	31.77	76.48	87.60	87.52	27.84	0.142	0.163
44.000	40.06	559.06	0.038	0.024	21.714	19.011	83.78	1847.93	19.01	-876.94	15.53	28.15	-2.11	-0.02	31.75	76.42	87.31	87.35	27.55	0.142	0.163
44.020	40.01	558.67	0.035	0.022	21.722	19.002	83.78	1905.08	28.24	-882.38	8.46	26.72	-2.16	-0.03	31.77	76.42	87.32	87.35	27.49	0.143	0.164
44.040	39.97	558.32	0.029	0.025	21.719	18.994	83.73	1955.91	29.90	-904.89	9.38	16.68	-2.16	-0.03	31.79	76.40	87.54	87.43	27.56	0.143	0.164
44.060	39.96	557.58	0.035	0.024	21.714	19.013	83.78	1927.40	23.75	-913.55	19.62	10.44	-2.11	-0.03	31.79	76.40	87.73	87.32	27.54	0.142	0.163
44.080	39.95	556.68	0.034	0.021	21.723	19.039	83.68	1864.77	16.59	-899.44	23.79	15.94	-2.07	-0.02	31.81	76.38	87.56	87.12	27.50	0.141	0.161
44.100	39.92	555.82	0.028	0.021	21.721	19.057	83.63	1833.67	17.68	-880.56	18.52	23.80	-2.08	-0.02	31.80	76.40	87.23	86.95	27.55	0.140	0.160
44.120	39.91	555.16	0.034	0.022	21.714	19.073	83.53	1870.65	25.31	-876.91	10.80	28.74	-2.13	-0.03	31.79	76.40	87.01	86.84	27.53	0.138	0.159
44.140	39.92	554.61	0.034	0.021	21.715	19.096	83.68	1927.04	30.45	-895.66	7.10	20.23	-2.15	-0.03	31.81	76.42	87.06	86.99	27.55	0.137	0.158
